Name,Category,Info
"Afghan",nationality,
"Albanian",nationality,
"Algerian",nationality,
"American",nationality,
"Andorran",nationality,
"Angolan",nationality,
"Anguillan",nationality,
"Citizen of Antigua",nationality,
"Barbuda",nationality,
"Argentine",nationality,
"Armenian",nationality,
"Australian",nationality,
"Austrian",nationality,
"Azerbaijani",nationality,
"Bahamian",nationality,
"Bahraini",nationality,
"Bangladeshi",nationality,
"Barbadian",nationality,
"Belarusian",nationality,
"Belgian",nationality,
"Belizean",nationality,
"Beninese",nationality,
"Bermudian",nationality,
"Bhutanese",nationality,
"Bolivian",nationality,
"Citizen of Bosnia",nationality,
"Herzegovina",nationality,
"Botswanan",nationality,
"Brazilian",nationality,
"British",nationality,
"British Virgin Islander",nationality,
"Bruneian",nationality,
"Bulgarian",nationality,
"Burkinan",nationality,
"Burmese",nationality,
"Burundian",nationality,
"Cambodian",nationality,
"Cameroonian",nationality,
"Canadian",nationality,
"Cape Verdean",nationality,
"Cayman Islander",nationality,
"Central African",nationality,
"Chadian",nationality,
"Chilean",nationality,
"Chinese",nationality,
"Colombian",nationality,
"Comoran",nationality,
"Congolese (Congo)",nationality,
"Congolese (DRC)",nationality,
"Cook Islander",nationality,
"Costa Rican",nationality,
"Croatian",nationality,
"Cuban",nationality,
"Cymraes",nationality,
"Cymro",nationality,
"Cypriot",nationality,
"Czech",nationality,
"Danish",nationality,
"Djiboutian",nationality,
"Dominican",nationality,
"Citizen of the Dominican Republic",nationality,
"Dutch",nationality,
"East Timorese",nationality,
"Ecuadorean",nationality,
"Egyptian",nationality,
"Emirati",nationality,
"English",nationality,
"Equatorial Guinean",nationality,
"Eritrean",nationality,
"Estonian",nationality,
"Ethiopian",nationality,
"Faroese",nationality,
"Fijian",nationality,
"Filipino",nationality,
"Finnish",nationality,
"French",nationality,
"Gabonese",nationality,
"Gambian",nationality,
"Georgian",nationality,
"German",nationality,
"Ghanaian",nationality,
"Gibraltarian",nationality,
"Greek",nationality,
"Greenlandic",nationality,
"Grenadian",nationality,
"Guamanian",nationality,
"Guatemalan",nationality,
"Citizen of Guinea-Bissau",nationality,
"Guinean",nationality,
"Guyanese",nationality,
"Haitian",nationality,
"Honduran",nationality,
"Hong Konger",nationality,
"Hungarian",nationality,
"Icelandic",nationality,
"Indian",nationality,
"Indonesian",nationality,
"Iranian",nationality,
"Iraqi",nationality,
"Irish",nationality,
"Israeli",nationality,
"Italian",nationality,
"Ivorian",nationality,
"Jamaican",nationality,
"Japanese",nationality,
"Jordanian",nationality,
"Kazakh",nationality,
"Kenyan",nationality,
"Kittitian",nationality,
"Citizen of Kiribati",nationality,
"Kosovan",nationality,
"Kuwaiti",nationality,
"Kyrgyz",nationality,
"Lao",nationality,
"Latvian",nationality,
"Lebanese",nationality,
"Liberian",nationality,
"Libyan",nationality,
"Liechtenstein citizen",nationality,
"Lithuanian",nationality,
"Luxembourger",nationality,
"Macanese",nationality,
"Macedonian",nationality,
"Malagasy",nationality,
"Malawian",nationality,
"Malaysian",nationality,
"Maldivian",nationality,
"Malian",nationality,
"Maltese",nationality,
"Marshallese",nationality,
"Martiniquais",nationality,
"Mauritanian",nationality,
"Mauritian",nationality,
"Mexican",nationality,
"Micronesian",nationality,
"Moldovan",nationality,
"Monegasque",nationality,
"Mongolian",nationality,
"Montenegrin",nationality,
"Montserratian",nationality,
"Moroccan",nationality,
"Mosotho",nationality,
"Mozambican",nationality,
"Namibian",nationality,
"Nauruan",nationality,
"Nepalese",nationality,
"New Zealander",nationality,
"Nicaraguan",nationality,
"Nigerian",nationality,
"Nigerien",nationality,
"Niuean",nationality,
"North Korean",nationality,
"Northern Irish",nationality,
"Norwegian",nationality,
"Omani",nationality,
"Pakistani",nationality,
"Palauan",nationality,
"Palestinian",nationality,
"Panamanian",nationality,
"Papua New Guinean",nationality,
"Paraguayan",nationality,
"Peruvian",nationality,
"Pitcairn Islander",nationality,
"Polish",nationality,
"Portuguese",nationality,
"Prydeinig",nationality,
"Puerto Rican",nationality,
"Qatari",nationality,
"Romanian",nationality,
"Russian",nationality,
"Rwandan",nationality,
"Salvadorean",nationality,
"Sammarinese",nationality,
"Samoan",nationality,
"Sao Tomean",nationality,
"Saudi Arabian",nationality,
"Scottish",nationality,
"Senegalese",nationality,
"Serbian",nationality,
"Citizen of Seychelles",nationality,
"Sierra Leonean",nationality,
"Singaporean",nationality,
"Slovak",nationality,
"Slovenian",nationality,
"Solomon Islander",nationality,
"Somali",nationality,
"South African",nationality,
"South Korean",nationality,
"South Sudanese",nationality,
"Spanish",nationality,
"Sri Lankan",nationality,
"St Helenian",nationality,
"St Lucian",nationality,
"Stateless",nationality,
"Sudanese",nationality,
"Surinamese",nationality,
"Swazi",nationality,
"Swedish",nationality,
"Swiss",nationality,
"Syrian",nationality,
"Taiwanese",nationality,
"Tajik",nationality,
"Tanzanian",nationality,
"Thai",nationality,
"Togolese",nationality,
"Tongan",nationality,
"Trinidadian",nationality,
"Tristanian",nationality,
"Tunisian",nationality,
"Turkish",nationality,
"Turkmen",nationality,
"Turks",nationality,
"Caicos Islander",nationality,
"Tuvaluan",nationality,
"Ugandan",nationality,
"Ukrainian",nationality,
"Uruguayan",nationality,
"Uzbek",nationality,
"Vatican citizen",nationality,
"Citizen of Vanuatu",nationality,
"Venezuelan",nationality,
"Vietnamese",nationality,
"Vincentian",nationality,
"Wallisian",nationality,
"Welsh",nationality,
"Yemeni",nationality,
"Zambian",nationality,
"Zimbabwean",nationality,
"The Grand Canyon, Arizona",pop-location,
"Rome, Italy",pop-location,
"Maui, Hawaii",pop-location,
"Masai Mara, Kenya",pop-location,
"New Zealand",pop-location,
"Istanbul, Turkey",pop-location,
"Angkor Wat, Cambodia",pop-location,
"London, England",pop-location,
"Manhattan, New York",pop-location,
"Paris, France",pop-location,
"Montreal, Canada",pop-location,
"San Francisco, California",pop-location,
"Hong Kong",pop-location,
"Marrakesh, Morocco",pop-location,
"Cartagena, Columbia",pop-location,
"Bali, Indonesia",pop-location,
"New Orleans, Louisiana",pop-location,
"Kerry, Ireland",pop-location,
"Marrakesh, Morocco",pop-location,
"The Maldives",pop-location,
"Cape Town, South Africa",pop-location,
"Dubai, U.A.E.",pop-location,
"Bora Bora, French Polynesia",pop-location,
"Dubrovnik, Croatia",pop-location,
"Edinburgh, Scotland",pop-location,
"Paro Valley, Bhutan",pop-location,
"Jaipur, India",pop-location,
"Waikato, New Zealand",pop-location,
"Havana, Cuba",pop-location,
"Tokyo, Japan",pop-location,
"Antarctica",pop-location,
"Vancouver, Canada",pop-location,
"Los Angeles, California",pop-location,
"Kruger National Park, South Africa",pop-location,
"Santorini, Greece",pop-location,
"Moscow, Russia",pop-location,
"Singapore",pop-location,
"London, England",pop-location,
"Rio de Janeiro, Brazil",pop-location,
"Petra, Jordan",pop-location,
"Hong Kong",pop-location,
"Barbabos",pop-location,
"Amsterdam, Netherlands",pop-location,
"Santiago, Chile",pop-location,
